"","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les mini-projets et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","J'ai réalisé tous les mini-projets et exercices proposés","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Fonctions","Tableaux et boucles","Formulaires HTML et validation","Bases de données et PDO","Sécurité et nettoyage des saisies utilisateurs","Programmation orientée objet","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le support de cours très clair, et le temps que le prof prend pour nous expliquer ","Les solutions directement accessible, au début je faisais bien toute seule mais dès que j’ai commencé à avoir des soucis je me suis retourné vers les solutions et du coup j’ai choisis la facilité ","","","","X","X","X","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Le mini projet ","Rien tout nickel ","","","","","X","X","","","Vous êtes cool 😎 "
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","","","X","X","X","X",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La mise a dispo des exercices et mini-projet","Un peu trop d'autonomie à mon goût","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Les explications étaient claires et j'ai beaucoup apprécié le mini projet.","Pas vraiment de critiques.","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","J'ai adoré le mélange entre théorie, exercices et pratique via le mini-projet. J'ai aimé également le fait que l'on soit traité comme des adultes et que si l'on désirait partir après la théorie, on n'était pas noté absent. ","Je ne vois rien à dire, tout m'a convenu. ","","","","","","","","","J'adore le fait que tout était disponible sur GitHub. J'espère que vous pourrez rester enseignant pour progserv2 :)"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La structure du cours, la possibilité de le faire de manière autonome avec les exercices et le mini-projet. Toute la théorie est disponible. C'est formidable, il faudrait que tous les cours techniques suivent ce format. Malgré la difficulté et la nouveauté du contenu, on y va crescendo en commençant par les bases avant de voir le niveau s'élever, mais on se sent accompagnés.","gar nichts","","","","","X","X","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","L'importance mise dans la compréhension des réponses données à la suite de questions ","","","","","X","","X","","X","Un cours d'appui organisé uniquement en cas d'intérêt durant le semaine de révisions serait a mon sens super chouette "
